iter	Passed	Remaining
0	138	138138
1	139	69797
2	140	46836
3	141	35313
4	142	28417
5	143	23815
6	144	20564
7	145	18088
8	146	16155
9	147	14597
10	148	13347
11	149	12316
12	150	11431
13	151	10676
14	152	10014
15	153	9437
16	154	8934
17	155	8475
18	156	8072
19	157	7727
20	158	7383
21	159	7072
22	160	6806
23	161	6559
24	162	6328
25	163	6122
26	164	5925
27	165	5744
28	166	5566
29	166	5395
30	167	5234
31	168	5085
32	168	4947
33	169	4813
34	170	4694
35	171	4590
36	172	4489
37	173	4390
38	174	4292
39	175	4200
40	175	4111
41	176	4027
42	177	3946
43	178	3870
44	178	3796
45	179	3724
46	180	3655
47	180	3589
48	181	3527
49	182	3467
50	183	3407
51	183	3353
52	184	3303
53	185	3255
54	186	3208
55	187	3160
56	188	3113
57	188	3067
58	189	3023
59	190	2979
60	190	2938
61	191	2897
62	192	2859
63	192	2822
64	193	2785
65	194	2750
66	195	2718
67	195	2684
68	196	2652
69	197	2620
70	197	2590
71	198	2562
72	199	2533
73	200	2509
74	201	2482
75	202	2456
76	202	2429
77	203	2405
78	204	2379
79	204	2355
80	205	2330
81	206	2306
82	206	2280
83	207	2257
84	207	2234
85	208	2212
86	208	2190
87	209	2171
88	210	2151
89	210	2132
90	211	2114
91	212	2096
92	213	2081
93	214	2063
94	215	2048
95	215	2033
96	216	2017
97	217	2001
98	218	1986
99	219	1971
100	219	1956
101	220	1942
102	221	1927
103	222	1912
104	222	1899
105	223	1884
106	224	1869
107	224	1855
108	225	1841
109	225	1827
110	226	1813
111	227	1800
112	227	1788
113	228	1776
114	229	1764
115	230	1755
116	230	1743
117	231	1730
118	232	1719
119	233	1709
120	233	1698
121	234	1686
122	235	1676
123	235	1666
124	236	1655
125	237	1646
126	237	1635
127	238	1625
128	239	1615
129	240	1606
130	240	1597
131	241	1588
132	242	1580
133	243	1571
134	243	1562
135	244	1554
136	245	1546
137	246	1539
138	247	1531
139	247	1523
140	248	1515
141	249	1505
142	249	1497
143	250	1489
144	251	1481
145	252	1474
146	252	1466
147	253	1459
148	254	1451
149	254	1444
150	255	1438
151	256	1431
152	257	1424
153	258	1417
154	258	1411
155	259	1404
156	260	1398
157	261	1392
158	262	1386
159	262	1380
160	263	1373
161	264	1366
162	264	1360
163	265	1354
164	266	1348
165	267	1341
166	267	1335
167	268	1329
168	269	1323
169	269	1317
170	270	1311
171	271	1305
172	271	1299
173	272	1293
174	273	1287
175	273	1282
176	274	1276
177	275	1271
178	276	1267
179	276	1261
180	277	1256
181	278	1251
182	279	1245
183	279	1240
184	280	1234
185	280	1229
186	281	1224
187	282	1219
188	283	1214
189	283	1210
190	284	1205
191	285	1200
192	285	1195
193	286	1191
194	287	1186
195	288	1181
196	288	1176
197	289	1172
198	290	1167
199	290	1163
200	291	1160
201	292	1155
202	293	1151
203	293	1147
204	294	1142
205	295	1138
206	296	1134
207	296	1130
208	297	1125
209	298	1122
210	299	1119
211	300	1115
212	301	1112
213	302	1109
214	302	1105
215	303	1102
216	304	1099
217	305	1095
218	306	1093
219	307	1089
220	308	1086
221	308	1082
222	309	1078
223	310	1074
224	310	1070
225	311	1067
226	312	1063
227	313	1059
228	313	1055
229	314	1052
230	314	1048
231	315	1044
232	316	1041
233	316	1037
234	317	1033
235	318	1030
236	318	1026
237	319	1022
238	320	1019
239	321	1016
240	321	1013
241	322	1010
242	323	1007
243	323	1003
244	324	1000
245	325	997
246	325	993
247	326	990
248	327	987
249	328	984
250	328	981
251	329	978
252	330	975
253	330	971
254	331	968
